Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
5OOCCMTFO,88888P,0,0.0,0.0
6X5TOHSMP,6737,0,0.15384615384615385,0.15384615384615385
G1HDINXJE,one hundred,0,0.0,0.3
N25KQZR19,NZPAZONE,0,0.23529411764705882,0.23529411764705882
BWU2LZLRD,hello123,0,0.11764705882352941,0.11764705882352941
K7SVFMZR6,Y8888P,0,0.0,0.0
681RHPD15,8765,0,0.3076923076923077,0.3076923076923077
7N732I0G8,7327,0,0.46153846153846156,0.46153846153846156
QJO2LIKTU,Y8a888P,0,0.0,0.0
AAI7PWL5Z,55555555,0,0.11764705882352941,0.11764705882352941
8NNYBLA19,9876,0,0.15384615384615385,0.15384615384615385
R9DDWJA9Y,1234,0,0.0,0.0
6R12L1DE2,2316,0,0.15384615384615385,0.15384615384615385
73RIS7TID,888088888b88bo888888dP88888808P,0,0.0,0.05
K6UWWAV1Q,1234,0,0.15384615384615385,0.15384615384615385
5OOCCMTFO,88888P,0,0.0,0.0
6X5TOHSMP,6737,0,0.15384615384615385,0.15384615384615385
G1HDINXJE,one hundred,0,0.0,0.3
N25KQZR19,NZPAZONE,0,0.23529411764705882,0.23529411764705882
BWU2LZLRD,hello123,0,0.11764705882352941,0.11764705882352941
K7SVFMZR6,Y8888P,0,0.0,0.0
681RHPD15,8765,0,0.3076923076923077,0.3076923076923077
7N732I0G8,7327,0,0.46153846153846156,0.46153846153846156
QJO2LIKTU,Y8a888P,0,0.0,0.0
AAI7PWL5Z,55555555,0,0.11764705882352941,0.11764705882352941
8NNYBLA19,9876,0,0.15384615384615385,0.15384615384615385
R9DDWJA9Y,1234,0,0.0,0.0
6R12L1DE2,2316,0,0.15384615384615385,0.15384615384615385
73RIS7TID,888088888b88bo888888dP88888808P,0,0.0,0.05
K6UWWAV1Q,1234,0,0.15384615384615385,0.15384615384615385
5OOCCMTFO,88888P,0,0.0,0.0
6X5TOHSMP,6737,0,0.15384615384615385,0.15384615384615385
G1HDINXJE,one hundred,0,0.0,0.3
N25KQZR19,NZPAZONE,0,0.23529411764705882,0.23529411764705882
BWU2LZLRD,hello123,0,0.11764705882352941,0.11764705882352941
K7SVFMZR6,Y8888P,0,0.0,0.0
681RHPD15,8765,0,0.3076923076923077,0.3076923076923077
7N732I0G8,7327,0,0.46153846153846156,0.46153846153846156
QJO2LIKTU,Y8a888P,0,0.0,0.0
AAI7PWL5Z,55555555,0,0.11764705882352941,0.11764705882352941
8NNYBLA19,9876,0,0.15384615384615385,0.15384615384615385
R9DDWJA9Y,1234,0,0.0,0.0
6R12L1DE2,2316,0,0.15384615384615385,0.15384615384615385
73RIS7TID,888088888b88bo888888dP88888808P,0,0.0,0.05
K6UWWAV1Q,1234,0,0.15384615384615385,0.15384615384615385
5OOCCMTFO,88888P,0,0.0,0.0
6X5TOHSMP,6737,0,0.15384615384615385,0.15384615384615385
G1HDINXJE,one hundred,0,0.0,0.3
N25KQZR19,NZPAZONE,0,0.23529411764705882,0.23529411764705882
BWU2LZLRD,hello123,0,0.11764705882352941,0.11764705882352941
K7SVFMZR6,Y8888P,0,0.0,0.0
681RHPD15,8765,0,0.3076923076923077,0.3076923076923077
7N732I0G8,7327,0,0.46153846153846156,0.46153846153846156
QJO2LIKTU,Y8a888P,0,0.0,0.0
AAI7PWL5Z,55555555,0,0.11764705882352941,0.11764705882352941
8NNYBLA19,9876,0,0.15384615384615385,0.15384615384615385
R9DDWJA9Y,1234,0,0.0,0.0
6R12L1DE2,2316,0,0.15384615384615385,0.15384615384615385
73RIS7TID,888088888b88bo888888dP88888808P,0,0.0,0.05
K6UWWAV1Q,1234,0,0.15384615384615385,0.15384615384615385
5OOCCMTFO,88888P,0,0.0,0.0
6X5TOHSMP,6737,0,0.15384615384615385,0.15384615384615385
G1HDINXJE,one hundred,0,0.0,0.3
N25KQZR19,NZPAZONE,0,0.23529411764705882,0.23529411764705882
BWU2LZLRD,hello123,0,0.11764705882352941,0.11764705882352941
K7SVFMZR6,Y8888P,0,0.0,0.0
681RHPD15,8765,0,0.3076923076923077,0.3076923076923077
7N732I0G8,7327,0,0.46153846153846156,0.46153846153846156
QJO2LIKTU,Y8a888P,0,0.0,0.0
AAI7PWL5Z,55555555,0,0.11764705882352941,0.11764705882352941
8NNYBLA19,9876,0,0.15384615384615385,0.15384615384615385
R9DDWJA9Y,1234,0,0.0,0.0
6R12L1DE2,2316,0,0.15384615384615385,0.15384615384615385
73RIS7TID,888088888b88bo888888dP88888808P,0,0.0,0.05
K6UWWAV1Q,1234,0,0.15384615384615385,0.15384615384615385
5OOCCMTFO,88888P,0,0.0,0.0
6X5TOHSMP,6737,0,0.15384615384615385,0.15384615384615385
G1HDINXJE,one hundred,0,0.0,0.3
N25KQZR19,NZPAZONE,0,0.23529411764705882,0.23529411764705882
BWU2LZLRD,hello123,0,0.11764705882352941,0.11764705882352941
K7SVFMZR6,Y8888P,0,0.0,0.0
681RHPD15,8765,0,0.3076923076923077,0.3076923076923077
7N732I0G8,7327,0,0.46153846153846156,0.46153846153846156
QJO2LIKTU,Y8a888P,0,0.0,0.0
AAI7PWL5Z,55555555,0,0.11764705882352941,0.11764705882352941
8NNYBLA19,9876,0,0.15384615384615385,0.15384615384615385
R9DDWJA9Y,1234,0,0.0,0.0
6R12L1DE2,2316,0,0.15384615384615385,0.15384615384615385
73RIS7TID,888088888b88bo888888dP88888808P,0,0.0,0.05
K6UWWAV1Q,1234,0,0.15384615384615385,0.15384615384615385
5OOCCMTFO,88888P,0,0.0,0.0
6X5TOHSMP,6737,0,0.15384615384615385,0.15384615384615385
G1HDINXJE,one hundred,0,0.0,0.3
N25KQZR19,NZPAZONE,0,0.23529411764705882,0.23529411764705882
BWU2LZLRD,hello123,0,0.11764705882352941,0.11764705882352941
K7SVFMZR6,Y8888P,0,0.0,0.0
681RHPD15,8765,0,0.3076923076923077,0.3076923076923077
7N732I0G8,7327,0,0.46153846153846156,0.46153846153846156
QJO2LIKTU,Y8a888P,0,0.0,0.0
AAI7PWL5Z,55555555,0,0.11764705882352941,0.11764705882352941
8NNYBLA19,9876,0,0.15384615384615385,0.15384615384615385
R9DDWJA9Y,1234,0,0.0,0.0
6R12L1DE2,2316,0,0.15384615384615385,0.15384615384615385
73RIS7TID,888088888b88bo888888dP88888808P,0,0.0,0.05
K6UWWAV1Q,1234,0,0.15384615384615385,0.15384615384615385
5OOCCMTFO,88888P,0,0.0,0.0
6X5TOHSMP,6737,0,0.15384615384615385,0.15384615384615385
G1HDINXJE,one hundred,0,0.0,0.3
N25KQZR19,NZPAZONE,0,0.23529411764705882,0.23529411764705882
BWU2LZLRD,hello123,0,0.11764705882352941,0.11764705882352941
K7SVFMZR6,Y8888P,0,0.0,0.0
